rally_id,game_id,match_id,rally_number,winning_team_id,serving_team_id,serving_player_id,returning_team_id,returning_player_id,thirdshot_player_id,third_shot_type,timeout,timeout_team_id,rally_length,ending_type,ending_player_id
R8968,G208,M113,6,T152,T152,P202,T155,P70,P202,Drop,N,N/A,14,Other,N/A
R8963,G208,M113,1,T155,T152,P202,T155,P70,N/A,Drop,N,N/A,13,Error,P203
R8964,G208,M113,2,T152,T155,P70,T152,P202,P205,Drive,N,N/A,5,Error,P205
R8965,G208,M113,3,T155,T155,P205,T152,P203,P205,Drop,N,N/A,8,Error,P203
R8966,G208,M113,4,T155,T155,P205,T152,P202,P70,Drop,N,N/A,11,Winner,P205
R8967,G208,M113,5,T152,T155,P205,T152,P203,P205,Drive,N,N/A,7,Error,P70
R8969,G208,M113,7,T155,T152,P202,T155,P205,P202,Drop,N,N/A,9,Error,P202
R8970,G208,M113,8,T155,T152,P203,T155,P70,P203,Drop,N,N/A,13,Error,P203
R8971,G208,M113,9,T152,T155,P70,T152,P203,P70,Drive,N,N/A,4,Winner,P202
R8972,G208,M113,10,T155,T155,P205,T152,P202,P70,Drive,N,N/A,3,Winner,P70
R8973,G208,M113,11,T152,T155,P205,T152,P203,P205,Drop,N,N/A,5,Error,P205
R8974,G208,M113,12,T155,T152,P203,T155,P205,P202,Drop,N,N/A,9,Error,P203
R8975,G208,M113,13,T152,T152,P202,T155,P70,P202,Drop,N,N/A,4,Error,P70
R8976,G208,M113,14,T155,T152,P202,T155,P205,P203,Drop,N,N/A,10,Winner,P205
R8977,G208,M113,15,T152,T155,P205,T152,P202,P205,Drop,N,N/A,9,Error,P70
R8978,G208,M113,16,T155,T155,P70,T152,P203,P205,Drive,N,N/A,7,Winner,P205
R8979,G208,M113,17,T155,T155,P70,T152,P202,P205,Drive,N,N/A,16,Error,P203
R8980,G208,M113,18,T152,T155,P70,T152,P203,P205,Drop,N,N/A,12,Winner,P203
R8981,G208,M113,19,T152,T152,P202,T155,P205,P202,Drop,N,N/A,16,Error,P205
R8989,G208,M113,27,T152,T152,P203,T155,P70,P203,Drop,N,N/A,23,Winner,P203
R8990,G208,M113,28,T152,T152,P203,T155,P205,P203,Drop,N,N/A,18,Other,N/A
R8992,G208,M113,30,T152,T155,P205,T152,P202,P70,Drop,N,N/A,7,Other,N/A
R8994,G208,M113,32,T155,T155,P70,T152,P202,P205,Drive,N,N/A,4,Other,N/A
R8982,G208,M113,20,T152,T152,P202,T155,P70,P203,Drop,N,N/A,5,Winner,P203
R8983,G208,M113,21,T152,T152,P202,T155,P205,P203,Drop,N,N/A,24,Error,P70
R8984,G208,M113,22,T155,T152,P202,T155,P70,P203,Drop,N,N/A,7,Error,P203
R8985,G208,M113,23,T152,T152,P203,T155,P205,P203,Drop,N,N/A,12,Error,P70
R8986,G208,M113,24,T152,T152,P203,T155,P70,P203,Drop,N,N/A,11,Winner,P203
R8987,G208,M113,25,T152,T152,P203,T155,P205,P202,Drop,N,N/A,10,Error,P70
R8991,G208,M113,29,T155,T152,P203,T155,P70,P203,Drop,N,N/A,11,Error,P203
R8993,G208,M113,31,T155,T155,P70,T152,P203,P205,Drive,N,N/A,14,Error,P203
R8996,G208,M113,34,T152,T155,P70,T152,P203,P70,Drop,N,N/A,8,Winner,P203
R8997,G208,M113,35,T152,T152,P202,T155,P205,N/A,Drive,N,N/A,2,Error,P205
R8988,G208,M113,26,N/A,T152,N/A,T155,N/A,N/A,N/A,Y,T155,,Timeout/Unknown,N/A
R8995,G208,M113,33,N/A,T155,N/A,T152,N/A,N/A,N/A,Y,T152,,Timeout/Unknown,N/A
R12704,G294,M181,28,T151,T151,P201,T250,P128,P201,Drop,N,N/A,26,Other,N/A
R12702,G294,M181,26,T151,T151,P2,T250,P128,P201,Drop,N,N/A,30,Other,N/A
R12680,G294,M181,4,T151,T151,P201,T250,P128,P201,Drive,N,N/A,12,Other,N/A
R12679,G294,M181,3,T151,T151,P201,T250,P95,P2,Drive,N,N/A,24,Error,P95
R12681,G294,M181,5,T151,T151,P201,T250,P95,P201,Drive,N,N/A,2,Unforced Error,P128
R12682,G294,M181,6,T151,T151,P201,T250,P128,P2,Drive,N,N/A,4,Error,P128
R12683,G294,M181,7,T151,T151,P201,T250,P95,P2,Drop,N,N/A,12,Error,P128
R9010,G209,M113,13,T152,T155,P70,T152,P202,P70,Drive,N,N/A,11,Other,N/A
R9003,G209,M113,6,T155,T155,P70,T152,P202,P70,Drop,N,N/A,18,Error,P202
R9004,G209,M113,7,T152,T155,P70,T152,P203,P70,Drive,N,N/A,4,Winner,P203
R5707,G127,M70,16,T65,T95,P128,T65,P3,P128,Drop,N,N/A,24,Winner,P3
R5708,G127,M70,17,T65,T95,P129,T65,P2,P128,Drop,N,N/A,8,Winner,P3
R5711,G127,M70,20,T95,T95,P128,T65,P3,P128,Drop,N,N/A,20,Unforced Error,P3
R5712,G127,M70,21,T95,T95,P128,T65,P2,P128,Drop,N,N/A,7,Winner,P128
R5713,G127,M70,22,T65,T95,P128,T65,P3,P129,Drive,N,N/A,5,Unforced Error,P129
R5719,G127,M70,28,T95,T95,P129,T65,P3,P128,Drop,N,N/A,29,Winner,P128
R5720,G127,M70,29,T65,T95,P129,T65,P2,P128,Drop,N,N/A,5,Unforced Error,P129
R5549,G124,M69,3,T93,T94,P126,T93,P125,N/A,N/A,N,N/A,1,Unforced Error,P126
R5550,G124,M69,4,T94,T94,P127,T93,P124,N/A,Drive,N,N/A,2,Unforced Error,P124
R5551,G124,M69,5,T93,T94,P127,T93,P125,P127,Drop,N,N/A,7,Error,P127
R5557,G124,M69,11,T93,T94,P126,T93,P124,P127,Drive,N,N/A,7,Error,P127
R5692,G127,M70,1,T65,T95,P128,T65,P3,P128,Drop,N,N/A,5,Unforced Error,P128
R5693,G127,M70,2,T65,T65,P3,T95,P128,P2,Drive,N,N/A,24,Error,P129
R5698,G127,M70,7,T65,T95,P128,T65,P2,P128,Drive,N,N/A,7,Error,P128
R5699,G127,M70,8,T65,T95,P129,T65,P3,P128,Drop,N,N/A,13,Unforced Error,P128
R5703,G127,M70,12,T65,T95,P128,T65,P3,P128,Drop,N,N/A,3,Error,P128
R5704,G127,M70,13,T65,T95,P129,T65,P2,N/A,N/A,N,N/A,1,Error,P129
R5714,G127,M70,23,T65,T95,P129,T65,P2,P128,Drop,N,N/A,15,Error,P128
R5718,G127,M70,27,T65,T95,P128,T65,P2,P128,Drop,N,N/A,41,Error,P129
R6221,G141,M79,4,T65,T65,P3,T107,P15,P3,Drive,N,N/A,14,Other,N/A
R9005,G209,M113,8,T152,T155,P205,T152,P202,P70,Drive,N,N/A,7,Error,P70
R9009,G209,M113,12,T152,T155,P205,T152,P203,P205,Drop,N,N/A,15,Error,P70
R6224,G141,M79,7,T65,T65,P3,T107,P143,P2,Drive,N,N/A,20,Other,N/A
R9013,G209,M113,16,T155,T155,P205,T152,P203,P70,Drive,N,N/A,5,Winner,P205
R9023,G209,M113,26,T152,T155,P70,T152,P203,P205,Drop,N,N/A,29,Error,P205
R9016,G209,M113,19,T155,T155,P70,T152,P202,P205,Drive,N,N/A,8,Other,N/A
R6218,G141,M79,1,T107,T65,P3,T107,P15,P3,Drop,N,N/A,15,Error,P2
R6222,G141,M79,5,T65,T65,P3,T107,P143,P3,Drive,N,N/A,7,Winner,P3
R6223,G141,M79,6,T65,T65,P3,T107,P15,P2,Drive,N,N/A,12,Error,P143
R6226,G141,M79,9,T65,T65,P3,T107,P15,P2,Drop,N,N/A,6,Error,P143
R6227,G141,M79,10,T107,T65,P3,T107,P143,P3,Drive,N,N/A,12,Winner,P15
R6225,G141,M79,8,N/A,T65,N/A,T107,N/A,N/A,N/A,Y,T107,,Timeout/Unknown,N/A
R9022,G209,M113,25,T155,T155,P70,T152,P202,P205,Drop,N,N/A,12,Other,N/A
R5694,G127,M70,3,T65,T65,P3,T95,P129,P2,Drive,N,N/A,13,Winner,P2
R5695,G127,M70,4,T65,T65,P3,T95,P128,P2,Drive,N,N/A,14,Error,P129
R5697,G127,M70,6,T95,T65,P2,T95,P128,P2,Drive,N,N/A,6,Winner,P128
R5701,G127,M70,10,T65,T65,P3,T95,P129,P3,Drop,N,N/A,10,Error,P129
R33766,G794,M597,5,T635,T638,P601,T635,P194,N/A,Drive,N,N/A,6,Winner,P194
R33762,G794,M597,1,T638,T638,P752,T635,P749,N/A,Drive,N,N/A,7,Winner,P752
R33763,G794,M597,2,T635,T638,P601,T635,P194,N/A,Drop,N,N/A,5,Error,P752
R33765,G794,M597,4,T638,T638,P752,T635,P749,N/A,Drop,N,N/A,13,Winner,P601
R33768,G794,M597,7,T635,T638,P752,T635,P749,N/A,Drive,N,N/A,3,Error,P752
R4951,G110,M57,27,N/A,T75,N/A,T73,N/A,N/A,N/A,Y,T73,,Timeout/Unknown,N/A
R4973,G110,M57,49,N/A,T75,N/A,T73,N/A,N/A,N/A,Y,T75,,Timeout/Unknown,N/A
R5705,G127,M70,14,T95,T65,P3,T95,P128,P3,Drop,N,N/A,3,Error,P3
R33770,G794,M597,9,T635,T638,P601,T635,P194,N/A,Drive,N,N/A,8,Winner,P194
R5706,G127,M70,15,T95,T65,P2,T95,P129,P3,Drop,N,N/A,13,Unforced Error,P2
R5709,G127,M70,18,T95,T65,P3,T95,P128,P2,Drive,N,N/A,7,Error,P2
R5710,G127,M70,19,T95,T65,P2,T95,P129,P3,Drop,N,N/A,9,Unforced Error,P2
R8998,G209,M113,1,T152,T155,P70,T152,P202,N/A,N/A,N,N/A,1,Unforced Error,P70
R5716,G127,M70,25,T95,T65,P3,T95,P129,P3,Drive,N,N/A,3,Error,P3
R5717,G127,M70,26,T95,T65,P2,T95,P128,P3,Drop,N,N/A,7,Error,P2
R5721,G127,M70,30,T65,T65,P2,T95,P129,P2,Drop,N,N/A,12,Error,P129
R9030,G209,M113,33,T155,T155,P205,T152,P203,P70,Drop,N,N/A,20,Other,N/A
R5724,G127,M70,33,T65,T65,P2,T95,P129,P3,Drop,N,N/A,15,Winner,P2
R5725,G127,M70,34,T65,T65,P2,T95,P128,P3,Drive,N,N/A,9,Winner,P3
R5726,G127,M70,35,T65,T65,P2,T95,P129,P3,Drop,N,N/A,7,Winner,P3
R33772,G794,M597,11,T638,T638,P752,T635,P749,N/A,Drive,N,N/A,4,Error,P749
